,LAYER,MAP_NAME,NAME,count,geometry,max,mean,median,min,std
35,Coverage/Quad,User Created Features - Coverage/Quad,36,3312,"POLYGON Z ((289741.0307345893 5130252.119051653 1179.954223632813, 289745.3448141793 5130251.892960324 1179.2587890625, 289744.8926315175 5130243.264801141 1178.163940429688, 289740.5785519274 5130243.490892474 1184.7529296875, 289741.0307345893 5130252.119051653 1179.954223632813))",30504.0,30281.062198067633,30355.0,29721.0,177.57628590263752
36,Coverage/Quad,User Created Features - Coverage/Quad,37,3318,"POLYGON Z ((289706.0659152063 5130245.299623118 1178.78759765625, 289710.3799947964 5130245.073531789 1183.480834960938, 289709.9278121344 5130236.445372608 1180.23193359375, 289705.6137325444 5130236.67146394 1177.834228515625, 289706.0659152063 5130245.299623118 1178.78759765625))",30469.0,30158.899035563594,30239.0,29603.0,239.78274975829626
37,Coverage/Quad,User Created Features - Coverage/Quad,38,3318,"POLYGON Z ((289710.3799947964 5130245.073531789 1183.480834960938, 289714.6940743866 5130244.847440458 1188.505493164063, 289714.2418917246 5130236.219281277 1187.059204101563, 289709.9278121344 5130236.445372608 1180.23193359375, 289710.3799947964 5130245.073531789 1183.480834960938))",30530.0,29899.845388788428,29787.0,29510.0,319.726364359338
38,Coverage/Quad,User Created Features - Coverage/Quad,39,3315,"POLYGON Z ((289714.6940743866 5130244.847440458 1188.505493164063, 289719.0081539767 5130244.621349127 1179.1162109375, 289718.5559713147 5130235.993189946 1178.317749023438, 289714.2418917246 5130236.219281277 1187.059204101563, 289714.6940743866 5130244.847440458 1188.505493164063))",30550.0,30218.805128205127,30324.0,29566.0,284.9585707830016
39,Coverage/Quad,User Created Features - Coverage/Quad,40,3314,"POLYGON Z ((289719.0081539767 5130244.621349127 1179.1162109375, 289723.3222335668 5130244.395257796 1179.3603515625, 289722.8700509049 5130235.767098618 1178.058227539063, 289718.5559713147 5130235.993189946 1178.317749023438, 289719.0081539767 5130244.621349127 1179.1162109375))",30514.0,30064.733554616778,30088.0,29503.0,342.75246840142603
40,Coverage/Quad,User Created Features - Coverage/Quad,41,3317,"POLYGON Z ((289723.3222335668 5130244.395257796 1179.3603515625, 289727.6363131569 5130244.169166463 1179.004638671875, 289727.184130495 5130235.541007285 1177.944580078125, 289722.8700509049 5130235.767098618 1178.058227539063, 289723.3222335668 5130244.395257796 1179.3603515625))",30501.0,30177.364787458548,30250.0,29584.0,258.58595474719016
41,Coverage/Quad,User Created Features - Coverage/Quad,42,3316,"POLYGON Z ((289727.6363131569 5130244.169166463 1179.004638671875, 289731.9503927472 5130243.943075135 1179.171020507813, 289731.4982100851 5130235.314915954 1178.094360351563, 289727.184130495 5130235.541007285 1177.944580078125, 289727.6363131569 5130244.169166463 1179.004638671875))",30436.0,29939.770205066347,29897.0,29551.0,274.1547009063115
42,Coverage/Quad,User Created Features - Coverage/Quad,43,3315,"POLYGON Z ((289731.9503927472 5130243.943075135 1179.171020507813, 289736.2644723373 5130243.716983804 1179.340942382813, 289735.8122896752 5130235.088824623 1178.0400390625, 289731.4982100851 5130235.314915954 1178.094360351563, 289731.9503927472 5130243.943075135 1179.171020507813))",30493.0,30296.21508295626,30367.0,29806.0,163.42139188627945
43,Coverage/Quad,User Created Features - Coverage/Quad,44,3315,"POLYGON Z ((289736.2644723373 5130243.716983804 1179.340942382813, 289740.5785519274 5130243.490892474 1184.7529296875, 289740.1263692654 5130234.862733292 1184.978881835938, 289735.8122896752 5130235.088824623 1178.0400390625, 289736.2644723373 5130243.716983804 1179.340942382813))",30365.0,29870.238310708897,29822.0,29658.0,171.84528428175244
44,Coverage/Quad,User Created Features - Coverage/Quad,45,3317,"POLYGON Z ((289740.5785519274 5130243.490892474 1184.7529296875, 289744.8926315175 5130243.264801141 1178.163940429688, 289744.4404488555 5130234.636641963 1177.349731445313, 289740.1263692654 5130234.862733292 1184.978881835938, 289740.5785519274 5130243.490892474 1184.7529296875))",30501.0,30004.9647271631,29975.0,29576.0,301.9579833654715
45,Coverage/Quad,User Created Features - Coverage/Quad,46,3317,"POLYGON Z ((289705.6137325444 5130236.67146394 1177.834228515625, 289709.9278121344 5130236.445372608 1180.23193359375, 289709.4756294725 5130227.817213428 1177.091186523438, 289705.1615498825 5130228.043304757 1176.667358398438, 289705.6137325444 5130236.67146394 1177.834228515625))",30595.0,30287.010551703348,30356.0,29709.0,225.98795968597523
46,Coverage/Quad,User Created Features - Coverage/Quad,47,3311,"POLYGON Z ((289709.9278121344 5130236.445372608 1180.23193359375, 289714.2418917246 5130236.219281277 1187.059204101563, 289713.7897090627 5130227.591122098 1186.791870117188, 289709.4756294725 5130227.817213428 1177.091186523438, 289709.9278121344 5130236.445372608 1180.23193359375))",30569.0,30041.96647538508,29980.0,29571.0,313.7660770318763
47,Coverage/Quad,User Created Features - Coverage/Quad,48,3318,"POLYGON Z ((289714.2418917246 5130236.219281277 1187.059204101563, 289718.5559713147 5130235.993189946 1178.317749023438, 289718.1037886528 5130227.365030767 1177.1064453125, 289713.7897090627 5130227.591122098 1186.791870117188, 289714.2418917246 5130236.219281277 1187.059204101563))",30571.0,30260.34388185654,30373.0,29564.0,276.38004679874325
