,LAYER,MAP_NAME,NAME,count,geometry,max,mean,median,min,std
28,Coverage/Quad,User Created Features - Coverage/Quad,29,3319,"POLYGON Z ((289710.8321774584 5130253.701690969 1184.404052734375, 289715.1462570485 5130253.475599638 1183.762939453125, 289714.6940743866 5130244.847440458 1188.505493164063, 289710.3799947964 5130245.073531789 1183.480834960938, 289710.8321774584 5130253.701690969 1184.404052734375))",362.6181335449219,360.9148074544026,361.0655822753906,359.3563537597656,1.1979477063280515
29,Coverage/Quad,User Created Features - Coverage/Quad,30,3313,"POLYGON Z ((289715.1462570485 5130253.475599638 1183.762939453125, 289719.4603366386 5130253.249508308 1180.119750976563, 289719.0081539767 5130244.621349127 1179.1162109375, 289714.6940743866 5130244.847440458 1188.505493164063, 289715.1462570485 5130253.475599638 1183.762939453125))",362.59368896484375,360.3958852614228,359.7516174316406,359.3719177246094,1.0159640064207747
30,Coverage/Quad,User Created Features - Coverage/Quad,31,3319,"POLYGON Z ((289719.4603366386 5130253.249508308 1180.119750976563, 289723.7744162287 5130253.023416977 1180.475708007813, 289723.3222335668 5130244.395257796 1179.3603515625, 289719.0081539767 5130244.621349127 1179.1162109375, 289719.4603366386 5130253.249508308 1180.119750976563))",362.8343505859375,360.7592048426643,360.2074890136719,359.3361511230469,1.2561986500558104
31,Coverage/Quad,User Created Features - Coverage/Quad,32,3320,"POLYGON Z ((289723.7744162287 5130253.023416977 1180.475708007813, 289728.088495819 5130252.797325644 1185.766845703125, 289727.6363131569 5130244.169166463 1179.004638671875, 289723.3222335668 5130244.395257796 1179.3603515625, 289723.7744162287 5130253.023416977 1180.475708007813))",362.8759765625,361.0056354844427,361.56581115722656,359.1419372558594,1.3043076343312083
32,Coverage/Quad,User Created Features - Coverage/Quad,33,3310,"POLYGON Z ((289728.088495819 5130252.797325644 1185.766845703125, 289732.402575409 5130252.571234314 1188.164672851563, 289731.9503927472 5130243.943075135 1179.171020507813, 289727.6363131569 5130244.169166463 1179.004638671875, 289728.088495819 5130252.797325644 1185.766845703125))",362.5943908691406,360.66915454691633,360.5382385253906,359.1830749511719,1.1550169814523108
33,Coverage/Quad,User Created Features - Coverage/Quad,34,3316,"POLYGON Z ((289732.402575409 5130252.571234314 1188.164672851563, 289736.7166549991 5130252.345142983 1184.341064453125, 289736.2644723373 5130243.716983804 1179.340942382813, 289731.9503927472 5130243.943075135 1179.171020507813, 289732.402575409 5130252.571234314 1188.164672851563))",362.5956726074219,360.56210903264355,359.6895751953125,359.34869384765625,1.212978184184
34,Coverage/Quad,User Created Features - Coverage/Quad,35,3319,"POLYGON Z ((289736.7166549991 5130252.345142983 1184.341064453125, 289741.0307345893 5130252.119051653 1179.954223632813, 289740.5785519274 5130243.490892474 1184.7529296875, 289736.2644723373 5130243.716983804 1179.340942382813, 289736.7166549991 5130252.345142983 1184.341064453125))",362.6120300292969,360.5911013886813,359.6612243652344,359.3301696777344,1.2302158192612254
35,Coverage/Quad,User Created Features - Coverage/Quad,36,3312,"POLYGON Z ((289741.0307345893 5130252.119051653 1179.954223632813, 289745.3448141793 5130251.892960324 1179.2587890625, 289744.8926315175 5130243.264801141 1178.163940429688, 289740.5785519274 5130243.490892474 1184.7529296875, 289741.0307345893 5130252.119051653 1179.954223632813))",362.0916442871094,359.7743634855114,359.46507263183594,359.1185302734375,0.7514515204602357
36,Coverage/Quad,User Created Features - Coverage/Quad,37,3318,"POLYGON Z ((289706.0659152063 5130245.299623118 1178.78759765625, 289710.3799947964 5130245.073531789 1183.480834960938, 289709.9278121344 5130236.445372608 1180.23193359375, 289705.6137325444 5130236.67146394 1177.834228515625, 289706.0659152063 5130245.299623118 1178.78759765625))",362.07666015625,359.8913850882026,359.3236083984375,359.006591796875,0.9827553071803061
37,Coverage/Quad,User Created Features - Coverage/Quad,38,3318,"POLYGON Z ((289710.3799947964 5130245.073531789 1183.480834960938, 289714.6940743866 5130244.847440458 1188.505493164063, 289714.2418917246 5130236.219281277 1187.059204101563, 289709.9278121344 5130236.445372608 1180.23193359375, 289710.3799947964 5130245.073531789 1183.480834960938))",362.60595703125,360.84374051729264,361.01499938964844,359.07421875,1.2143316200905592
